datetime,00060_Mean,00060_Mean_cd,site_no
2016-02-18 00:00:00+00:00,53.0,A,11215000
2016-02-19 00:00:00+00:00,32.0,A,11215000
2016-02-20 00:00:00+00:00,30.0,A,11215000
2016-02-21 00:00:00+00:00,30.0,A,11215000
2016-02-22 00:00:00+00:00,30.0,A,11215000
2016-02-23 00:00:00+00:00,31.0,A,11215000
2016-02-24 00:00:00+00:00,32.0,A,11215000
2016-02-25 00:00:00+00:00,34.0,A,11215000
2016-02-26 00:00:00+00:00,36.0,A,11215000
2016-02-27 00:00:00+00:00,37.0,A,11215000
2016-02-28 00:00:00+00:00,37.0,A,11215000
2016-02-29 00:00:00+00:00,37.0,A,11215000
2016-03-01 00:00:00+00:00,37.0,A,11215000
2016-03-02 00:00:00+00:00,36.0,A,11215000
2016-03-03 00:00:00+00:00,35.0,A,11215000
2016-03-04 00:00:00+00:00,36.0,A,11215000
2016-03-05 00:00:00+00:00,71.0,A,11215000
2016-03-06 00:00:00+00:00,95.0,A,11215000
2016-03-07 00:00:00+00:00,47.0,A,11215000
2016-03-08 00:00:00+00:00,41.0,A,11215000
2016-03-09 00:00:00+00:00,42.0,A,11215000
2016-03-10 00:00:00+00:00,41.0,A,11215000
2016-03-11 00:00:00+00:00,41.0,A,11215000
2016-03-12 00:00:00+00:00,42.0,A,11215000
2016-03-13 00:00:00+00:00,42.0,A,11215000
2016-03-14 00:00:00+00:00,41.0,A,11215000
2016-03-15 00:00:00+00:00,38.0,A,11215000
2016-03-16 00:00:00+00:00,36.0,A,11215000
2016-03-17 00:00:00+00:00,36.0,A,11215000
2016-03-18 00:00:00+00:00,36.0,A,11215000
2016-03-19 00:00:00+00:00,36.0,A,11215000
2016-03-20 00:00:00+00:00,35.0,A,11215000
2016-03-21 00:00:00+00:00,34.0,A,11215000
2016-03-22 00:00:00+00:00,35.0,A,11215000
2016-03-23 00:00:00+00:00,33.0,A,11215000
2016-03-24 00:00:00+00:00,33.0,A,11215000
2016-03-25 00:00:00+00:00,32.0,A,11215000
2016-03-26 00:00:00+00:00,30.0,A,11215000
2016-03-27 00:00:00+00:00,30.0,A,11215000
2016-03-28 00:00:00+00:00,29.0,A,11215000
2016-03-29 00:00:00+00:00,29.0,A,11215000
2016-03-30 00:00:00+00:00,31.0,A,11215000
2016-03-31 00:00:00+00:00,32.0,A,11215000
2016-04-01 00:00:00+00:00,34.0,A,11215000
2016-04-02 00:00:00+00:00,34.0,A,11215000
2016-04-03 00:00:00+00:00,34.0,A,11215000
2016-04-04 00:00:00+00:00,33.0,A,11215000
2016-04-05 00:00:00+00:00,33.0,A,11215000
2016-04-06 00:00:00+00:00,34.0,A,11215000
2016-04-07 00:00:00+00:00,35.0,A,11215000
2016-04-08 00:00:00+00:00,36.0,A,11215000
2016-04-09 00:00:00+00:00,45.0,A,11215000
2016-04-10 00:00:00+00:00,40.0,A,11215000
2016-04-11 00:00:00+00:00,37.0,A,11215000
2016-04-12 00:00:00+00:00,36.0,A,11215000
2016-04-13 00:00:00+00:00,35.0,A,11215000
2016-04-14 00:00:00+00:00,34.0,A,11215000
2016-04-15 00:00:00+00:00,32.0,A,11215000
2016-04-16 00:00:00+00:00,30.0,A,11215000
2016-04-17 00:00:00+00:00,29.0,A,11215000
2016-04-18 00:00:00+00:00,29.0,A,11215000
2016-04-19 00:00:00+00:00,29.0,A,11215000
2016-04-20 00:00:00+00:00,30.0,A,11215000
2016-04-21 00:00:00+00:00,32.0,A,11215000
2016-04-22 00:00:00+00:00,35.0,A,11215000
2016-04-23 00:00:00+00:00,35.0,A,11215000
2016-04-24 00:00:00+00:00,33.0,A,11215000
2016-04-25 00:00:00+00:00,33.0,A,11215000
2016-04-26 00:00:00+00:00,32.0,A,11215000
2016-04-27 00:00:00+00:00,31.0,A,11215000
2016-04-28 00:00:00+00:00,32.0,A,11215000
2016-04-29 00:00:00+00:00,33.0,A,11215000
2016-04-30 00:00:00+00:00,33.0,A,11215000
2016-05-01 00:00:00+00:00,33.0,A,11215000
2016-05-02 00:00:00+00:00,32.0,A,11215000
2016-05-03 00:00:00+00:00,32.0,A,11215000
2016-05-04 00:00:00+00:00,32.0,A,11215000
2016-05-05 00:00:00+00:00,30.0,A,11215000
2016-05-06 00:00:00+00:00,31.0,A,11215000
2016-05-07 00:00:00+00:00,31.0,A,11215000
2016-05-08 00:00:00+00:00,31.0,A,11215000
2016-05-09 00:00:00+00:00,29.0,A,11215000
2016-05-10 00:00:00+00:00,29.0,A,11215000
2016-05-11 00:00:00+00:00,31.0,A,11215000
2016-05-12 00:00:00+00:00,32.0,A,11215000
2016-05-13 00:00:00+00:00,34.0,A,11215000
2016-05-14 00:00:00+00:00,36.0,A,11215000
2016-05-15 00:00:00+00:00,38.0,A,11215000
2016-05-16 00:00:00+00:00,39.0,A,11215000
2016-05-17 00:00:00+00:00,39.0,A,11215000
2016-05-18 00:00:00+00:00,39.0,A,11215000
2016-05-19 00:00:00+00:00,38.0,A,11215000
2016-05-20 00:00:00+00:00,38.0,A,11215000
2016-05-21 00:00:00+00:00,38.0,A,11215000
2016-05-22 00:00:00+00:00,37.0,A,11215000
2016-05-23 00:00:00+00:00,36.0,A,11215000
2016-05-24 00:00:00+00:00,36.0,A,11215000
2016-05-25 00:00:00+00:00,38.0,A,11215000
2016-05-26 00:00:00+00:00,38.0,A,11215000
2016-05-27 00:00:00+00:00,38.0,A,11215000
2016-05-28 00:00:00+00:00,38.0,A,11215000
2016-05-29 00:00:00+00:00,39.0,A,11215000
2016-05-30 00:00:00+00:00,39.0,A,11215000
2016-05-31 00:00:00+00:00,39.0,A,11215000
2016-06-01 00:00:00+00:00,40.0,A,11215000
2016-06-02 00:00:00+00:00,41.0,A,11215000
2016-06-03 00:00:00+00:00,43.0,A,11215000
2016-06-04 00:00:00+00:00,45.0,A,11215000
2016-06-05 00:00:00+00:00,46.0,A,11215000
2016-06-06 00:00:00+00:00,46.0,A,11215000
2016-06-07 00:00:00+00:00,49.0,A,11215000
2016-06-08 00:00:00+00:00,49.0,A,11215000
2016-06-09 00:00:00+00:00,47.0,A,11215000
2016-06-10 00:00:00+00:00,47.0,A,11215000
2016-06-11 00:00:00+00:00,46.0,A,11215000
2016-06-12 00:00:00+00:00,47.0,A,11215000
2016-06-13 00:00:00+00:00,45.0,A,11215000
2016-06-14 00:00:00+00:00,45.0,A,11215000
2016-06-15 00:00:00+00:00,45.0,A,11215000
2016-06-16 00:00:00+00:00,45.0,A,11215000
2016-06-17 00:00:00+00:00,45.0,A,11215000
2016-06-18 00:00:00+00:00,45.0,A,11215000
2016-06-19 00:00:00+00:00,45.0,A,11215000
2016-06-20 00:00:00+00:00,46.0,A,11215000
2016-06-21 00:00:00+00:00,46.0,A,11215000
2016-06-22 00:00:00+00:00,47.0,A,11215000
2016-06-23 00:00:00+00:00,47.0,A,11215000
2016-06-24 00:00:00+00:00,47.0,A,11215000
2016-06-25 00:00:00+00:00,46.0,A,11215000
2016-06-26 00:00:00+00:00,46.0,A,11215000
2016-06-27 00:00:00+00:00,46.0,A,11215000
2016-06-28 00:00:00+00:00,47.0,A,11215000
2016-06-29 00:00:00+00:00,52.0,A,11215000
2016-06-30 00:00:00+00:00,63.0,A,11215000
2016-07-01 00:00:00+00:00,66.0,A,11215000
2016-07-02 00:00:00+00:00,67.0,A,11215000
2016-07-03 00:00:00+00:00,61.0,A,11215000
2016-07-04 00:00:00+00:00,53.0,A,11215000
2016-07-05 00:00:00+00:00,49.0,A,11215000
2016-07-06 00:00:00+00:00,48.0,A,11215000
2016-07-07 00:00:00+00:00,47.0,A,11215000
2016-07-08 00:00:00+00:00,46.0,A,11215000
2016-07-09 00:00:00+00:00,46.0,A,11215000
2016-07-10 00:00:00+00:00,46.0,A,11215000
2016-07-11 00:00:00+00:00,45.0,A,11215000
2016-07-12 00:00:00+00:00,44.0,A,11215000
2016-07-13 00:00:00+00:00,44.0,A,11215000
2016-07-14 00:00:00+00:00,44.0,A,11215000
2016-07-15 00:00:00+00:00,45.0,A,11215000
2016-07-16 00:00:00+00:00,45.0,A,11215000
2016-07-17 00:00:00+00:00,44.0,A,11215000
2016-07-18 00:00:00+00:00,44.0,A,11215000
2016-07-19 00:00:00+00:00,43.0,A,11215000
2016-07-20 00:00:00+00:00,43.0,A,11215000
2016-07-21 00:00:00+00:00,43.0,A,11215000
