datetime,00010_Mean,00010_Mean_cd,site_no,00060_Mean,00060_Mean_cd
2023-10-27 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-10-28 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-10-29 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-10-30 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-10-31 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-11-01 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-11-02 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-11-03 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-11-04 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-11-05 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-11-06 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-11-07 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-11-08 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-11-09 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-11-10 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-11-11 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-11-12 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-11-13 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-11-14 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-11-15 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-11-16 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-11-17 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-11-18 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-11-19 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-11-20 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-11-21 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-11-22 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-11-23 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-11-24 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-11-25 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-11-26 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-11-27 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-11-28 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-11-29 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-11-30 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-12-01 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-12-02 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-12-03 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-12-04 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-12-05 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-12-06 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-12-07 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-12-08 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-12-09 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-12-10 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-12-11 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-12-12 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-12-13 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-12-14 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-12-15 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-12-16 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-12-17 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-12-18 00:00:00+00:00,0.0,P,15200280,-999999.0,"P, Ice"
2023-12-19 00:00:00+00:00,0.0,"P, [4]",15200280,,
