datetime,00060_Mean,00060_Mean_cd,site_no
2023-03-31 00:00:00+00:00,0.4,A,09386950
2023-04-01 00:00:00+00:00,0.47,A,09386950
2023-04-02 00:00:00+00:00,0.42,A,09386950
2023-04-03 00:00:00+00:00,0.35,A,09386950
2023-04-04 00:00:00+00:00,0.32,A,09386950
2023-04-05 00:00:00+00:00,12.1,A,09386950
2023-04-06 00:00:00+00:00,92.1,A,09386950
2023-04-07 00:00:00+00:00,71.8,A,09386950
2023-04-08 00:00:00+00:00,47.4,A,09386950
2023-04-09 00:00:00+00:00,51.7,A,09386950
2023-04-10 00:00:00+00:00,67.3,A,09386950
2023-04-11 00:00:00+00:00,79.4,A,09386950
2023-04-12 00:00:00+00:00,79.4,A,09386950
2023-04-13 00:00:00+00:00,72.6,A,09386950
2023-04-14 00:00:00+00:00,57.1,A,09386950
2023-04-15 00:00:00+00:00,43.5,A,09386950
2023-04-16 00:00:00+00:00,32.2,A,09386950
2023-04-17 00:00:00+00:00,21.5,A,09386950
2023-04-18 00:00:00+00:00,14.5,A,09386950
2023-04-19 00:00:00+00:00,9.29,A,09386950
2023-04-20 00:00:00+00:00,5.6,A,09386950
2023-04-21 00:00:00+00:00,4.51,A,09386950
2023-04-22 00:00:00+00:00,3.0,A,09386950
2023-04-23 00:00:00+00:00,1.74,A,09386950
2023-04-24 00:00:00+00:00,1.0,A,09386950
2023-04-25 00:00:00+00:00,0.5,A,09386950
2023-04-26 00:00:00+00:00,0.31,A,09386950
2023-04-27 00:00:00+00:00,0.22,A,09386950
2023-04-28 00:00:00+00:00,0.14,A,09386950
2023-04-29 00:00:00+00:00,0.1,A,09386950
2023-04-30 00:00:00+00:00,0.09,A,09386950
2023-05-01 00:00:00+00:00,0.07,A,09386950
2023-05-02 00:00:00+00:00,0.09,A,09386950
2023-05-03 00:00:00+00:00,0.09,A,09386950
2023-05-04 00:00:00+00:00,0.04,A,09386950
2023-05-05 00:00:00+00:00,0.07,A,09386950
2023-05-06 00:00:00+00:00,0.05,A,09386950
2023-05-07 00:00:00+00:00,0.03,A,09386950
2023-05-08 00:00:00+00:00,0.02,A,09386950
2023-05-09 00:00:00+00:00,0.01,A,09386950
2023-05-10 00:00:00+00:00,0.05,A,09386950
2023-05-11 00:00:00+00:00,0.04,A,09386950
2023-05-12 00:00:00+00:00,0.04,A,09386950
2023-05-13 00:00:00+00:00,0.06,A,09386950
2023-05-14 00:00:00+00:00,0.04,A,09386950
2023-05-15 00:00:00+00:00,0.03,A,09386950
2023-05-16 00:00:00+00:00,0.05,A,09386950
2023-05-17 00:00:00+00:00,0.04,A,09386950
2023-05-18 00:00:00+00:00,0.03,A,09386950
2023-05-19 00:00:00+00:00,0.02,A,09386950
2023-05-20 00:00:00+00:00,0.04,A,09386950
2023-05-21 00:00:00+00:00,0.09,A,09386950
2023-05-22 00:00:00+00:00,0.11,A,09386950
2023-05-23 00:00:00+00:00,0.05,P,09386950
2023-05-24 00:00:00+00:00,0.03,P,09386950
2023-05-25 00:00:00+00:00,0.02,P,09386950
2023-05-26 00:00:00+00:00,0.0,P,09386950
2023-05-27 00:00:00+00:00,0.0,P,09386950
2023-05-28 00:00:00+00:00,0.0,P,09386950
2023-05-29 00:00:00+00:00,0.0,P,09386950
2023-05-30 00:00:00+00:00,0.0,P,09386950
2023-05-31 00:00:00+00:00,0.0,P,09386950
2023-06-01 00:00:00+00:00,0.0,P,09386950
2023-06-02 00:00:00+00:00,0.0,P,09386950
2023-06-03 00:00:00+00:00,0.0,P,09386950
2023-06-04 00:00:00+00:00,0.0,P,09386950
2023-06-05 00:00:00+00:00,0.0,P,09386950
2023-06-06 00:00:00+00:00,0.0,P,09386950
2023-06-07 00:00:00+00:00,0.0,P,09386950
2023-06-08 00:00:00+00:00,0.0,P,09386950
2023-06-09 00:00:00+00:00,0.0,P,09386950
2023-06-10 00:00:00+00:00,0.0,P,09386950
2023-06-11 00:00:00+00:00,0.0,P,09386950
2023-06-12 00:00:00+00:00,0.0,P,09386950
2023-06-13 00:00:00+00:00,0.0,P,09386950
2023-06-14 00:00:00+00:00,0.0,P,09386950
2023-06-15 00:00:00+00:00,0.0,P,09386950
2023-06-16 00:00:00+00:00,0.0,P,09386950
2023-06-17 00:00:00+00:00,0.0,P,09386950
2023-06-18 00:00:00+00:00,0.0,P,09386950
2023-06-19 00:00:00+00:00,0.0,P,09386950
2023-06-20 00:00:00+00:00,0.0,P,09386950
2023-06-21 00:00:00+00:00,0.0,P,09386950
2023-06-22 00:00:00+00:00,0.0,P,09386950
2023-06-23 00:00:00+00:00,0.0,P,09386950
2023-06-24 00:00:00+00:00,0.0,P,09386950
2023-06-25 00:00:00+00:00,0.0,P,09386950
2023-06-26 00:00:00+00:00,0.0,P,09386950
2023-06-27 00:00:00+00:00,0.0,P,09386950
2023-06-28 00:00:00+00:00,0.0,P,09386950
2023-06-29 00:00:00+00:00,0.0,P,09386950
2023-06-30 00:00:00+00:00,0.0,P,09386950
2023-07-01 00:00:00+00:00,0.0,P,09386950
2023-07-02 00:00:00+00:00,0.0,P,09386950
2023-07-03 00:00:00+00:00,0.0,P,09386950
2023-07-04 00:00:00+00:00,0.0,P,09386950
2023-07-05 00:00:00+00:00,0.0,P,09386950
2023-07-06 00:00:00+00:00,0.0,P,09386950
2023-07-07 00:00:00+00:00,0.0,P,09386950
2023-07-08 00:00:00+00:00,0.0,P,09386950
2023-07-09 00:00:00+00:00,0.0,P,09386950
2023-07-10 00:00:00+00:00,0.0,P,09386950
2023-07-11 00:00:00+00:00,0.0,P,09386950
2023-07-12 00:00:00+00:00,0.0,P,09386950
2023-07-13 00:00:00+00:00,0.0,P,09386950
2023-07-14 00:00:00+00:00,0.0,P,09386950
2023-07-15 00:00:00+00:00,0.0,P,09386950
2023-07-16 00:00:00+00:00,0.0,P,09386950
2023-07-17 00:00:00+00:00,0.0,P,09386950
2023-07-18 00:00:00+00:00,0.0,P,09386950
2023-07-19 00:00:00+00:00,0.0,P,09386950
2023-07-20 00:00:00+00:00,0.0,P,09386950
2023-07-21 00:00:00+00:00,0.0,P,09386950
