datetime,00060_Mean,00060_Mean_cd,site_no
2003-05-09 00:00:00+00:00,2550.0,A,11525500
2003-05-10 00:00:00+00:00,2540.0,A,11525500
2003-05-11 00:00:00+00:00,2540.0,A,11525500
2003-05-12 00:00:00+00:00,2520.0,A,11525500
2003-05-13 00:00:00+00:00,2520.0,A,11525500
2003-05-14 00:00:00+00:00,2520.0,A,11525500
2003-05-15 00:00:00+00:00,2530.0,A,11525500
2003-05-16 00:00:00+00:00,2520.0,A,11525500
2003-05-17 00:00:00+00:00,2520.0,A,11525500
2003-05-18 00:00:00+00:00,2520.0,A,11525500
2003-05-19 00:00:00+00:00,2530.0,A,11525500
2003-05-20 00:00:00+00:00,2440.0,A,11525500
2003-05-21 00:00:00+00:00,2260.0,A,11525500
2003-05-22 00:00:00+00:00,2170.0,A,11525500
2003-05-23 00:00:00+00:00,2080.0,A,11525500
2003-05-24 00:00:00+00:00,2020.0,A,11525500
2003-05-25 00:00:00+00:00,1980.0,A,11525500
2003-05-26 00:00:00+00:00,1990.0,A,11525500
2003-05-27 00:00:00+00:00,2010.0,A,11525500
2003-05-28 00:00:00+00:00,2010.0,A,11525500
2003-05-29 00:00:00+00:00,2020.0,A,11525500
2003-05-30 00:00:00+00:00,2020.0,A,11525500
2003-05-31 00:00:00+00:00,2010.0,A,11525500
2003-06-01 00:00:00+00:00,2020.0,A,11525500
2003-06-02 00:00:00+00:00,1990.0,A,11525500
2003-06-03 00:00:00+00:00,1980.0,A,11525500
2003-06-04 00:00:00+00:00,1990.0,A,11525500
2003-06-05 00:00:00+00:00,1980.0,A,11525500
2003-06-06 00:00:00+00:00,1980.0,A,11525500
2003-06-07 00:00:00+00:00,1990.0,A,11525500
2003-06-08 00:00:00+00:00,1980.0,A,11525500
2003-06-09 00:00:00+00:00,1980.0,A,11525500
2003-06-10 00:00:00+00:00,1980.0,A,11525500
2003-06-11 00:00:00+00:00,1980.0,A,11525500
2003-06-12 00:00:00+00:00,1980.0,A,11525500
2003-06-13 00:00:00+00:00,1990.0,A,11525500
2003-06-14 00:00:00+00:00,1980.0,A,11525500
2003-06-15 00:00:00+00:00,1980.0,A,11525500
2003-06-16 00:00:00+00:00,1990.0,A,11525500
2003-06-17 00:00:00+00:00,1990.0,A,11525500
2003-06-18 00:00:00+00:00,1980.0,A,11525500
2003-06-19 00:00:00+00:00,1990.0,A,11525500
2003-06-20 00:00:00+00:00,1980.0,A,11525500
2003-06-21 00:00:00+00:00,1990.0,A,11525500
2003-06-22 00:00:00+00:00,1990.0,A,11525500
2003-06-23 00:00:00+00:00,1980.0,A,11525500
2003-06-24 00:00:00+00:00,1980.0,A,11525500
2003-06-25 00:00:00+00:00,1980.0,A,11525500
2003-06-26 00:00:00+00:00,1980.0,A,11525500
2003-06-27 00:00:00+00:00,1990.0,A,11525500
2003-06-28 00:00:00+00:00,1990.0,A,11525500
2003-06-29 00:00:00+00:00,1990.0,A,11525500
2003-06-30 00:00:00+00:00,1990.0,A,11525500
2003-07-01 00:00:00+00:00,1990.0,A,11525500
2003-07-02 00:00:00+00:00,1990.0,A,11525500
2003-07-03 00:00:00+00:00,2020.0,A,11525500
2003-07-04 00:00:00+00:00,2010.0,A,11525500
2003-07-05 00:00:00+00:00,2010.0,A,11525500
2003-07-06 00:00:00+00:00,2000.0,A,11525500
2003-07-07 00:00:00+00:00,1990.0,A,11525500
2003-07-08 00:00:00+00:00,2000.0,A,11525500
2003-07-09 00:00:00+00:00,2010.0,A,11525500
2003-07-10 00:00:00+00:00,1860.0,A,11525500
2003-07-11 00:00:00+00:00,1570.0,A,11525500
2003-07-12 00:00:00+00:00,1320.0,A,11525500
2003-07-13 00:00:00+00:00,1180.0,A,11525500
2003-07-14 00:00:00+00:00,1050.0,A,11525500
2003-07-15 00:00:00+00:00,906.0,A,11525500
2003-07-16 00:00:00+00:00,793.0,A,11525500
2003-07-17 00:00:00+00:00,708.0,A,11525500
2003-07-18 00:00:00+00:00,630.0,A,11525500
2003-07-19 00:00:00+00:00,585.0,A,11525500
2003-07-20 00:00:00+00:00,511.0,A,11525500
2003-07-21 00:00:00+00:00,439.0,A,11525500
